Season,Region,Site_ID,Sample_type,Sample_ID,Filter_no,Filter_ID,MP_category,MP_color,Length_mm
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,5,Xbay1_mp5_5,fiber,clear,0.452
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,4,Xbay1_mp5_4,fragment,clear,0.726
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,3,Xbay1_mp5_3,fiber,orange,0.824
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,2,Xbay1_mp5_2,fiber,black,0.323
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,2,Xbay1_mp5_2,fiber,red,1.933
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,16,Xbay1_mp5_16,fiber,clear,1.56
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,16,Xbay1_mp5_16,fiber,clear,0.541
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,15,Xbay1_mp5_15,fiber,black,0.146
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,15,Xbay1_mp5_15,fiber,clear,0.294
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,14,Xbay1_mp5_14,fiber,clear,0.256
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,14,Xbay1_mp5_14,fiber,clear,1.413
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,14,Xbay1_mp5_14,fiber,clear,3.392
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,13,Xbay1_mp5_13,fiber,clear,2.371
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,13,Xbay1_mp5_13,fragment,clear,0.531
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,12,Xbay1_mp5_12,fiber,black,7.253
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,12,Xbay1_mp5_12,fiber,blue,1.518
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,12,Xbay1_mp5_12,fiber,blue,1.284
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,11,Xbay1_mp5_11,fiber,clear,1.131
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,10,Xbay1_mp5_10,fiber,clear,0.326
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,10,Xbay1_mp5_10,fiber,clear,1.226
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp5,1,Xbay1_mp5_1,fiber,blue,1.343
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,9,Xbay1_mp4_9,fragment,clear,0.317
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,8,Xbay1_mp4_8,fiber,clear,0.501
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,7,Xbay1_mp4_7,fiber,clear,0.693
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,7,Xbay1_mp4_7,fiber,clear,0.835
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,6,Xbay1_mp4_6,fiber,clear,0.735
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,6,Xbay1_mp4_6,fiber,red,1.012
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,5,Xbay1_mp4_5,fiber,black,3.064
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,5,Xbay1_mp4_5,fiber,blue,0.694
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,5,Xbay1_mp4_5,fiber,clear,3.209
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,4,Xbay1_mp4_4,fiber,clear,1.871
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,4,Xbay1_mp4_4,fragment,blue,0.364
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,3,Xbay1_mp4_3,fiber,blue,1.862
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,3,Xbay1_mp4_3,fiber,clear,1.853
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,2,Xbay1_mp4_2,fiber,clear,1.226
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,2,Xbay1_mp4_2,fiber,grey,2.691
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,2,Xbay1_mp4_2,fiber,black,1.617
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,1,Xbay1_mp4_1,fragment,clear,0.245
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,1,Xbay1_mp4_1,fiber,clear,0.611
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp4,1,Xbay1_mp4_1,fiber,blue,1.678
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,6,Xbay1_mp3_6,fiber,clear,1.26
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,6,Xbay1_mp3_6,fiber,clear,0.894
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,6,Xbay1_mp3_6,fiber,red,0.613
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,6,Xbay1_mp3_6,fiber,clear,0.714
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,5,Xbay1_mp3_5,fiber,red,1.197
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,5,Xbay1_mp3_5,fiber,blue,0.182
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,5,Xbay1_mp3_5,fiber,clear,2.882
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,4,Xbay1_mp3_4,fiber,red,0.62
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,4,Xbay1_mp3_4,fiber,clear,0.281
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,3,Xbay1_mp3_3,fiber,blue,3.033
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,3,Xbay1_mp3_3,fiber,blue,0.149
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,3,Xbay1_mp3_3,fiber,red,0.847
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,2,Xbay1_mp3_2,fiber,clear,0.259
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,1,Xbay1_mp3_1,fiber,black,0.726
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp3,1,Xbay1_mp3_1,fiber,blue,1.784
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,9,Xbay1_mp2_9,fiber,clear,0.875
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,9,Xbay1_mp2_9,fiber,blue,0.347
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,9,Xbay1_mp2_9,fiber,clear,0.402
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,8,Xbay1_mp2_8,fiber,blue,1.909
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,8,Xbay1_mp2_8,fragment,clear,0.225
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,7,Xbay1_mp2_7,fiber,black,2.791
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,6,Xbay1_mp2_6,fiber,blue,1.215
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,5,Xbay1_mp2_5,fiber,clear,5.889
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,4,Xbay1_mp2_4,fiber,blue,0.3
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,4,Xbay1_mp2_4,fiber,clear,1.886
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,4,Xbay1_mp2_4,fiber,clear,1.183
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,3,Xbay1_mp2_3,fiber,clear,0.547
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,2,Xbay1_mp2_2,fiber,clear,0.733
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,1,Xbay1_mp2_1,fiber,clear,2.839
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp2,1,Xbay1_mp2_1,fiber,clear,0.804
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,9,Xbay1_mp12_9,fiber,clear,1.013
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,8,Xbay1_mp12_8,film,blue,0.449
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,8,Xbay1_mp12_8,fiber,clear,1.331
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,7,Xbay1_mp12_7,fiber,clear,0.652
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,7,Xbay1_mp12_7,fiber,red,0.432
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,6,Xbay1_mp12_6,fragment,clear,0.595
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,6,Xbay1_mp12_6,fiber,clear,0.832
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,6,Xbay1_mp12_6,fiber,black,0.821
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,5,Xbay1_mp12_5,fiber,clear,0.965
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,4,Xbay1_mp12_4,fiber,black,1.071
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,3,Xbay1_mp12_3,fiber,clear,0.57
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,3,Xbay1_mp12_3,fiber,clear,0.772
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,3,Xbay1_mp12_3,fiber,clear,0.925
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,2,Xbay1_mp12_2,fiber,clear,0.938
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,10,Xbay1_mp12_10,fiber,clear,1.453
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,10,Xbay1_mp12_10,fiber,clear,0.637
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp12,1,Xbay1_mp12_1,fiber,clear,0.939
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp11,8,Xbay1_mp11_8,fiber,clear,0.336
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp11,7,Xbay1_mp11_7,fiber,clear,1.146
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp11,7,Xbay1_mp11_7,fiber,red,0.708
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp11,6,Xbay1_mp11_6,fiber,blue,1.058
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp11,5,Xbay1_mp11_5,fragment,clear,0.241
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp11,5,Xbay1_mp11_5,fiber,clear,0.954
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp11,4,Xbay1_mp11_4,fiber bundle,clear,1.606
Spring2021,Xbay,Xbay1,oyster,Xbay1_mp11,3,Xbay1_mp11_3,fiber,clear,0.804
